Month End Date,Monthly Total (NAV) Return
"Dec 31, 2010",6.39
"Jan 31, 2011",0.34
"Feb 28, 2011",4.58
"Mar 31, 2011",3.96
"Apr 30, 2011",4.09
"May 31, 2011",0.08
"Jun 30, 2011",-2.17
"Jul 31, 2011",-3.57
"Aug 31, 2011",-7.57
"Sep 30, 2011",-9.84
"Oct 31, 2011",14.56
"Nov 30, 2011",0.55
"Dec 31, 2011",0.52
"Jan 31, 2012",5.34
"Feb 29, 2012",2.45
"Mar 31, 2012",2.98
"Apr 30, 2012",-0.71
"May 31, 2012",-5.42
"Jun 30, 2012",4.07
"Jul 31, 2012",-1.06
"Aug 31, 2012",3.62
"Sep 30, 2012",1.53
"Oct 31, 2012",-2.20
"Nov 30, 2012",0.42
"Dec 31, 2012",3.11
"Jan 31, 2013",6.08
"Feb 28, 2013",1.15
"Mar 31, 2013",4.31
"Apr 30, 2013",-0.57
"May 31, 2013",4.37
"Jun 30, 2013",-0.32
"Jul 31, 2013",7.23
"Aug 31, 2013",-1.52
"Sep 30, 2013",5.98
"Oct 31, 2013",3.70
"Nov 30, 2013",4.79
"Dec 31, 2013",1.30
"Jan 31, 2014",-4.12
"Feb 28, 2014",4.27
"Mar 31, 2014",0.08
"Apr 30, 2014",-3.41
"May 31, 2014",-0.20
"Jun 30, 2014",5.58
"Jul 31, 2014",-5.99
"Aug 31, 2014",4.07
"Sep 30, 2014",-4.62
"Oct 31, 2014",6.96
"Nov 30, 2014",-0.95
"Dec 31, 2014",3.02
"Jan 31, 2015",-1.80
"Feb 28, 2015",6.18
"Mar 31, 2015",2.19
"Apr 30, 2015",-2.85
"May 31, 2015",2.20
"Jun 30, 2015",1.59
"Jul 31, 2015",1.01
"Aug 31, 2015",-5.86
"Sep 30, 2015",-3.20
"Oct 31, 2015",5.75
"Nov 30, 2015",2.68
"Dec 31, 2015",-4.43
"Jan 31, 2016",-6.45
"Feb 29, 2016",0.18
"Mar 31, 2016",7.07
"Apr 30, 2016",0.29
"May 31, 2016",2.78
"Jun 30, 2016",0.42
"Jul 31, 2016",5.01
"Aug 31, 2016",1.57
"Sep 30, 2016",0.45
"Oct 31, 2016",-5.21
"Nov 30, 2016",11.78
"Dec 31, 2016",3.47
"Jan 31, 2017",0.23
"Feb 28, 2017",1.72
"Mar 31, 2017",0.42
"Apr 30, 2017",1.19
"May 31, 2017",-2.03
"Jun 30, 2017",2.94
"Jul 31, 2017",1.21
"Aug 31, 2017",-2.41
"Sep 30, 2017",6.89
"Oct 31, 2017",1.25
"Nov 30, 2017",3.29
"Dec 31, 2017",-0.68
"Jan 31, 2018",3.54
"Feb 28, 2018",-3.56
"Mar 31, 2018",2.47
"Apr 30, 2018",0.34
"May 31, 2018",7.06
"Jun 30, 2018",1.37
"Jul 31, 2018",3.75
"Aug 31, 2018",6.62
"Sep 30, 2018",-3.33
"Oct 31, 2018",-11.09
"Nov 30, 2018",2.49
"Dec 31, 2018",-11.85
"Jan 31, 2019",9.03
"Feb 28, 2019",4.47
"Mar 31, 2019",-2.77
"Apr 30, 2019",3.42
"May 31, 2019",-7.51
"Jun 30, 2019",7.09
"Jul 31, 2019",1.10
"Aug 31, 2019",-3.90
"Sep 30, 2019",0.96
"Oct 31, 2019",1.98
"Nov 30, 2019",3.39
"Dec 31, 2019",2.98
"Jan 31, 2020",-1.68
"Feb 29, 2020",-9.05
"Mar 31, 2020",-19.71
"Apr 30, 2020",11.90
"May 31, 2020",5.93
"Jun 30, 2020",3.79
"Jul 31, 2020",5.49
"Aug 31, 2020",2.98
"Sep 30, 2020",-4.26
"Oct 31, 2020",1.62
"Nov 30, 2020",17.23
"Dec 31, 2020",8.91
"Jan 31, 2021",6.26
"Feb 28, 2021",4.49
"Mar 31, 2021",1.07
"Apr 30, 2021",2.04
"May 31, 2021",0.09
"Jun 30, 2021",1.54
"Jul 31, 2021",-0.11
"Aug 31, 2021",2.11
"Sep 30, 2021",-3.46
"Oct 31, 2021",4.09
"Nov 30, 2021",-2.04
"Dec 31, 2021",4.75
"Jan 31, 2022",-10.13
"Feb 28, 2022",0.39
"Mar 31, 2022",0.26
"Apr 30, 2022",-9.51
"May 31, 2022",1.37
"Jun 30, 2022",-8.05
"Jul 31, 2022",11.59
"Aug 31, 2022",-4.62
"Sep 30, 2022",-9.26
"Oct 31, 2022",10.02
"Nov 30, 2022",4.39
"Dec 31, 2022",-6.92
"Jan 31, 2023",7.22
"Feb 28, 2023",-0.81
"Mar 31, 2023",-3.99
"Apr 30, 2023",-3.12
"May 31, 2023",0.19
"Jun 30, 2023",7.94
"Jul 31, 2023",5.02
"Aug 31, 2023",-3.37
"Sep 30, 2023",-5.67
"Oct 31, 2023",-5.17
"Nov 30, 2023",7.49
"Dec 31, 2023",12.08
"Jan 31, 2024",-2.57
"Feb 29, 2024",4.26
"Mar 31, 2024",3.10
